Регион;Норме УИК, код;Ссылка на видеопоток;ФИО наблюдателя;Тел;ФИО бригадира;Тел
Ростов-на-Дону;14381-1961;http://webvyboryedg.ru/;;;;
Самарская область;14390-107;http://webvyboryedg.ru/;;;;
Самарская область;14392-109;http://webvyboryedg.ru/;;;;
Самарская область;14399-116;http://webvyboryedg.ru/;;;;
Самарская область;14410-127;http://webvyboryedg.ru/;;;;
Самарская область;14510-527;http://webvyboryedg.ru/;;;;
Самарская область;14610-910;http://webvyboryedg.ru/;;;;
Самарская область;14710-1346;http://webvyboryedg.ru/;;;;
Самарская область;14810-1516;http://webvyboryedg.ru/;;;;
Самарская область;14910-1806;http://webvyboryedg.ru/;;;;
Самарская область;15010-2110;http://webvyboryedg.ru/;;;;
Самарская область;15110-2423;http://webvyboryedg.ru/;;;;
Самарская область;15610-3516;http://webvyboryedg.ru/;;;;
Самарская область;15710-3739;http://webvyboryedg.ru/;;;;
Самарская область;16010-4111;http://webvyboryedg.ru/;;;;
Самарская область;16110-4427;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16186-1292;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16206-1323;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16226-1335;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16246-1356;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16266-1378;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16286-1484;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16346-1705;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16366-1726;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16386-1746;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16406-1767;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16426-1389;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16446-1409;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16466-1430;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16486-1451;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16506-1600;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16546-1640;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16556-1650;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16566-1660;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16586-1681;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16596-1691;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16606-1546;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16626-1566;http://webvyboryedg.ru/;;;;
Екатеринбург, Свердловская область;16646-1586;http://webvyboryedg.ru/;;;;
Челябинская область;16691-77;http://webvyboryedg.ru/;;;;
Челябинская область;16692-718;http://webvyboryedg.ru/;;;;
Челябинская область;16693-719;http://webvyboryedg.ru/;;;;
Челябинская область;16703-739;http://webvyboryedg.ru/;;;;
Челябинская область;16704-742;http://webvyboryedg.ru/;;;;
Челябинская область;16705-743;http://webvyboryedg.ru/;;;;
Челябинская область;16706-746;http://webvyboryedg.ru/;;;;
Челябинская область;16707-738;http://webvyboryedg.ru/;;;;
Челябинская область;16708-739;http://webvyboryedg.ru/;;;;
Челябинская область;16709-750;http://webvyboryedg.ru/;;;;
Челябинская область;16710-752;http://webvyboryedg.ru/;;;;
Челябинская область;16714-769;http://webvyboryedg.ru/;;;;
Челябинская область;16715-772;http://webvyboryedg.ru/;;;;
Челябинская область;16716-776;http://webvyboryedg.ru/;;;;
Челябинская область;1677-779;http://webvyboryedg.ru/;;;;
Челябинская область;16718-780;http://webvyboryedg.ru/;;;;
Челябинская область;16719-785;http://webvyboryedg.ru/;;;;
Москва;16720-850;http://vybory.mos.ru/;;;;
Москва;16915-1049;http://vybory.mos.ru/;;;;
Москва;17015-1150;http://vybory.mos.ru/;;;;
Москва;17020-1155;http://vybory.mos.ru/;;;;
Москва;17115-1250;http://vybory.mos.ru/;;;;
Москва;17120-1255;http://vybory.mos.ru/;;;;
Москва;17215-2615;http://vybory.mos.ru/;;;;
Москва;17220-2620;http://vybory.mos.ru/;;;;
Москва;17320-2720;http://vybory.mos.ru/;;;;
Москва;17420-2819;http://vybory.mos.ru/;;;;
Москва;17515-3267;http://vybory.mos.ru/;;;;
Москва;17615-190;http://vybory.mos.ru/;;;;
Москва;17715-270;http://vybory.mos.ru/;;;;
Москва;17720-275;http://vybory.mos.ru/;;;;
Москва;17820-376;http://vybory.mos.ru/;;;;
Москва;18015-570;http://vybory.mos.ru/;;;;
Москва;18020-575;http://vybory.mos.ru/;;;;
Москва;18215-770;http://vybory.mos.ru/;;;;
Москва;18220-775;http://vybory.mos.ru/;;;;
Москва;18315-2925;http://vybory.mos.ru/;;;;
Москва;18320-2930;http://vybory.mos.ru/;;;;
Москва;18415-3025;http://vybory.mos.ru/;;;;
Москва;18420-3030;http://vybory.mos.ru/;;;;
Москва;18515-3124;http://vybory.mos.ru/;;;;
Москва;18520-3129;http://vybory.mos.ru/;;;;
Москва;18615-53;http://vybory.mos.ru/;;;;
Москва;18620-58;http://vybory.mos.ru/;;;;
Москва;18715-153;http://vybory.mos.ru/;;;;
Москва;18720-158;http://vybory.mos.ru/;;;;
Москва;18815-1342;http://vybory.mos.ru/;;;;
Москва;18820-1347;http://vybory.mos.ru/;;;;
Москва;18915-1442;http://vybory.mos.ru/;;;;
Москва;18920-1447;http://vybory.mos.ru/;;;;
Москва;19015-1536;http://vybory.mos.ru/;;;;
Москва;19020-1541;http://vybory.mos.ru/;;;;
Москва;19115-1636;http://vybory.mos.ru/;;;;
Москва;19120-1641;http://vybory.mos.ru/;;;;
Москва;19215-2199;http://vybory.mos.ru/;;;;
Москва;19220-2204;http://vybory.mos.ru/;;;;
Москва;19315-2300;http://vybory.mos.ru/;;;;
Москва;19320-2305;http://vybory.mos.ru/;;;;
Москва;19415-2400;http://vybory.mos.ru/;;;;
Москва;19420-2405;http://vybory.mos.ru/;;;;
Москва;19515-2499;http://vybory.mos.ru/;;;;
Москва;19520-2504;http://vybory.mos.ru/;;;;
Москва;19615-1712;http://vybory.mos.ru/;;;;
Москва;19620-1717;http://vybory.mos.ru/;;;;
Москва;19715-1812;http://vybory.mos.ru/;;;;
